{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 14.891672629548605, 'meanValidationLoss': 15.155844269996908, 'meanLosses': 15.023758449772757}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 14.637043880986321, 'meanValidationLoss': 14.90697934120857, 'meanLosses': 14.772011611097446}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 14.839107980914115, 'meanValidationLoss': 15.104815681917225, 'meanLosses': 14.971961831415669}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 14.61601862419341, 'meanValidationLoss': 14.886568485153752, 'meanLosses': 14.75129355467358}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 14.918496679234698, 'meanValidationLoss': 15.182943263577213, 'meanLosses': 15.050719971405956}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 14.647775578325854, 'meanValidationLoss': 14.917820952742535, 'meanLosses': 14.782798265534193}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 13.839126105867789, 'meanValidationLoss': 14.067719462639939, 'meanLosses': 13.953422784253863}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 13.543247621373364, 'meanValidationLoss': 13.777261042101944, 'meanLosses': 13.660254331737654}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 13.795334830821423, 'meanValidationLoss': 14.025431040668137, 'meanLosses': 13.91038293574478}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 13.52573132248417, 'meanValidationLoss': 13.760345873274186, 'meanLosses': 13.643038597879178}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 13.869573531090303, 'meanValidationLoss': 14.098783701628104, 'meanLosses': 13.984178616359204}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 13.555427363642693, 'meanValidationLoss': 13.789687490507083, 'meanLosses': 13.672557427074889}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 4.9008131510261004, 'meanValidationLoss': 4.8962536333854496, 'meanLosses': 4.898533392205775}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 3.4919887599864814, 'meanValidationLoss': 3.5224048559482259, 'meanLosses': 3.5071968079673539}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 4.8272522405124905, 'meanValidationLoss': 4.8244364108820301, 'meanLosses': 4.8258443256972603}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 3.4571129760101451, 'meanValidationLoss': 3.4854973928290294, 'meanLosses': 3.4713051844195872}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 4.9758051118160962, 'meanValidationLoss': 4.968304425171489, 'meanLosses': 4.972054768493793}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 3.5270576279040862, 'meanValidationLoss': 3.5556219455561546, 'meanLosses': 3.5413397867301204}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 4.1982809320705003, 'meanValidationLoss': 4.2023628379033697, 'meanLosses': 4.200321884986935}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 2.8719893030516905, 'meanValidationLoss': 2.9160593213826767, 'meanLosses': 2.8940243122171836}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 4.1418948506023812, 'meanValidationLoss': 4.1460295868796075, 'meanLosses': 4.1439622187409944}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 2.8494612843120963, 'meanValidationLoss': 2.8916511729959593, 'meanLosses': 2.8705562286540278}
