,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ALPHA,param_ETA,param_LAMBDA,param_activation,param_epochs,param_hiddenUnits,param_randomSeed,param_weightInitialization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7507,0.22960837682088217,0.04253282408597431,0.0004782676696777344,5.825127505451768e-05,0.9,0.5,0.7,sigm,200,16,10,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.4864864864864865,0.5135135135135135,0.5428571428571428,0.5137614678899083,0.02289926603614572,1440,0.4861111111111111,0.5138888888888888,0.5540540540540541,0.518018018018018,0.027890836660819478
7508,0.271468718846639,0.04736946729957859,0.0004112720489501953,0.00010229814909316457,0.9,0.5,0.7,sigm,200,16,10,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5416666666666666,0.4864864864864865,0.5140140140140139,0.022527387974078557
7509,0.3859093189239502,0.046484598593006646,0.0004920164744059244,4.518659355772553e-05,0.9,0.5,0.7,sigm,200,16,20,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 20, 'weightInitialization': 'xav'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7510,0.23129749298095703,0.007522825261126747,0.00046817461649576825,2.9628138678155756e-05,0.9,0.5,0.7,sigm,200,16,20,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 20, 'weightInitialization': 'type1'}",0.9459459459459459,0.5135135135135135,0.5142857142857142,0.6605504587155964,0.20458897471089424,1070,0.9305555555555556,0.5138888888888888,0.5135135135135135,0.6526526526526526,0.1965070869087819
7511,0.2968122164408366,0.05720598045740457,0.00047469139099121094,4.754523195081304e-05,0.9,0.5,0.7,sigm,200,16,20,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 20, 'weightInitialization': 'type2'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7512,0.2750542163848877,0.09849368509984642,0.0005282560984293619,2.854149119718188e-05,0.9,0.5,0.7,sigm,200,50,0,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7513,0.23606046040852866,0.06253537059410927,0.0004976590474446615,0.00010790178575806462,0.9,0.5,0.7,sigm,200,50,0,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7514,0.2896598180135091,0.03479381525096437,0.0005566279093424479,1.868846161008611e-05,0.9,0.5,0.7,sigm,200,50,0,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7515,0.31055180231730145,0.033779253414216094,0.0005156993865966797,2.6135577603030756e-05,0.9,0.5,0.7,sigm,200,50,5,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.5135135135135135,0.5135135135135135,0.5142857142857142,0.5137614678899083,0.0003605401338953372,1440,0.5138888888888888,0.5138888888888888,0.5135135135135135,0.5137637637637638,0.00017695364894557193
7516,0.34392110506693524,0.05230612621698179,0.0005265076955159506,2.8937725945825596e-05,0.9,0.5,0.7,sigm,200,50,5,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.5138888888888888,0.4861111111111111,0.4864864864864865,0.4954954954954955,0.013006995990906952
